"img-link href","photo-count","list-view-price","list-view-date","celly","celly 2","celly 3","celly 4","list-view-header","list-view-location","img-wrp href","he-lazy-image src","listing-card--owner-info__firm-name","he-lazy-image src 2","eids-badge__description","eids-badge__label","he-lazy-image src 3"
"https://www.hepsiemlak.com/kayseri-melikgazi-mimarsinan-kiralik/daire/152845-8","48","8.000","31-12-2024","1 +
                          1","110 m²","1
                        Yaşında","1. Kat","Asiltürk Gayrimenkul | Mimarsinan Toki 2+1 Kiralık  Daire...!","Kayseri / Melikgazi / Mimarsinan Mah.","","https://hecdn01.hemlak.com/mncropresize/182/137/ds01/4/0/7/1/0/8/3/4/ca1563e1-56ab-48c6-bb5c-4d614851e3f6.jpg","","","","",""
"https://www.hepsiemlak.com/kayseri-kocasinan-sahabiye-kiralik/daire/141068-369","22","8.000","31-12-2024","2 +
                          1","110 m²","31
                        Yaşında","2. Kat","Rex Global | Sahabiyede 2+1 Kiralık Kombili Daire","Kayseri / Kocasinan / Sahabiye Mah.","https://www.hepsiemlak.com/emlak-ofisi/rex-global-141068","https://hecdn01.hemlak.com/mncropresize/182/137/ds01/6/3/5/6/9/7/3/4/0e00b38b-3a56-42da-8cb0-a2f10810f441.jpeg","Rex Global","https://hecdnnw.hemlak.com/mncropresize/77/67/logo/8/6/0/1/4/1/b7cd7b2e-041a-404c-b95a-b3e6a8ae3fee.jpg","","",""
"https://www.hepsiemlak.com/kayseri-talas-bahcelievler-kiralik/daire/152661-5","17","18.500","31-12-2024","3 +
                          1","150 m²","Sıfır Bina","12. Kat","Talas Bahçelievler","Kayseri / Talas / Bahçelievler Mah.","https://www.hepsiemlak.com/emlak-ofisi/ahrazoglu-gayrimenkul-152661","https://hecdn01.hemlak.com/mncropresize/182/137/ds01/7/3/8/3/8/7/3/4/1732955846-8804169-43783837.jpeg","Ahrazoğlu Gayrimenkul","https://hecdnnw.hemlak.com/mncropresize/77/67/logo/1/6/6/2/5/1/6be90970-4145-4ef1-a026-ef4b4ef2e2b1.jpg","","",""
"https://www.hepsiemlak.com/kayseri-kocasinan-osmangazi-kiralik/daire/124546-708","35","15.000","31-12-2024","3 +
                          1","165 m²","4
                        Yaşında","3. Kat","Erkilet Osmangazi Mah. Migros Üstü 3+1 Kiralık Daire","Kayseri / Kocasinan / Osmangazi Mah.","","https://hecdn01.hemlak.com/mncropresize/182/137/ds01/7/3/5/2/0/7/3/4/cf0173f8-157c-42e9-8497-fbfbaee11d6c.jpeg","","","","",""
"https://www.hepsiemlak.com/kayseri-talas-mevlana-kiralik/daire/139342-97","9","15.000","02-01-2025","3 +
                          1","175 m²","7
                        Yaşında","6. Kat","Talas Mevlana'da Kiralık Daire","Kayseri / Talas / Mevlana Mah.","https://www.hepsiemlak.com/emlak-ofisi/ercan-emlak-139342/ercan-bayram-3882383","https://hecdn01.hemlak.com/mncropresize/182/137/ds01/6/3/2/4/4/6/3/4/4e7c8e5d-8457-4561-a7c2-44239acba0fe.jpg","Ercan Emlak","https://hecdnnw.hemlak.com/mncropresize/77/67/firmuser/3/8/3/2/8/8/3/bf1e1736-dfaf-46c7-b928-64353269cf3a.jpg","","","https://hecdnnw.hemlak.com/mncropresize/77/67/logo/2/4/3/9/3/1/ad9237ae-07bb-4444-b838-9786a55ca0d6.jpg"
"https://www.hepsiemlak.com/kayseri-develi-yeni-kiralik/daire/75931-3259","15","12.000","01-01-2025","3 +
                          1","120 m²","28
                        Yaşında","Yüksek Giriş","Öz Gaye Emlaktan Develi Yeni Mahallede Kiralık Daire","Kayseri / Develi / Yeni Mah.","https://www.hepsiemlak.com/emlak-ofisi/oz-gaye-emlak-75931/songul-ozdemir-1432698","https://hecdn01.hemlak.com/mncropresize/182/137/ds01/0/1/1/4/1/9/3/4/a5b01d71-1d3f-4595-b345-a751f9e21130.jpg","Öz Gaye Emlak","https://hecdnnw.hemlak.com/mncropresize/77/67/firmuser/8/9/6/2/3/4/1/17aa9893-cfca-4340-af7d-27238f52bf8c.jpg","","","https://hecdnnw.hemlak.com/mncropresize/77/67/logo/1/3/9/5/7/0/912fb5e3-9df2-4cbb-aa95-318754f926ce.jpg"
"https://www.hepsiemlak.com/kayseri-talas-mevlana-kiralik/daire/147607-100","11","17.000","31-12-2024","3 +
                          1","275 m²","12
                        Yaşında","12. Kat","Queen Gayrimenkul","Kayseri / Talas / Mevlana Mah.","https://www.hepsiemlak.com/emlak-ofisi/queen-gayrimenkul-147607","https://hecdn01.hemlak.com/mncropresize/182/137/ds01/2/9/9/7/0/9/3/4/1734946298-408173-43907992.jpeg","Queen Gayrimenkul","https://hecdnnw.hemlak.com/mncropresize/77/67/logo/7/0/6/7/4/1/f1b4de2f-4d98-496d-8cb6-54ab472d5228.jpg","","",""
"https://www.hepsiemlak.com/kayseri-kocasinan-ertugrul-gazi-kiralik/daire/131846-2459","24","13.500","31-12-2024","3 +
                          1","160 m²","Sıfır Bina","Zemin","Erkilet Ertugrulgazi Mahalesinde Kiralık 3+1 Sıfır Daire","Kayseri / Kocasinan / Ertuğrul Gazi Mah.","https://www.hepsiemlak.com/emlak-ofisi/remax-forum-131846","https://hecdn01.hemlak.com/mncropresize/182/137/ds01/8/9/1/1/1/9/3/4/1afb81f0-7fba-47d1-9683-75707d952d49.jpg","Remax Forum","https://hecdnnw.hemlak.com/mncropresize/77/67/logo/6/4/8/1/3/1/332d8eb4-e4d5-4065-b02a-d0208824b378.jpg","","",""
"https://www.hepsiemlak.com/kayseri-kocasinan-erciyesevler-kiralik/daire/149686-66","27","30.000","01-01-2025","4 +
                          1","240 m²","11
                        Yaşında","13. Kat","Erciyes Evler Mah İpek Saray Karşısı 4+1 Lüks Kiralık Daire...","Kayseri / Kocasinan / Erciyesevler Mah.","","https://hecdn01.hemlak.com/img/eids-logo-mini.png","","","Elektronik İlan Doğrulama Sistemi yetki doğrulaması yapılmıştır.","EİDS onaylı",""
"https://www.hepsiemlak.com/kayseri-develi-sehit-ustegmen-hasan-sahan-kiralik/daire/99212-3243","13","10.000","31-12-2024","3 +
                          1","120 m²","7
                        Yaşında","En Üst Kat","Develi Polat Gayrimenkul- Şehit Üsteğmen Hasan Şahan Mah. Kiralık Daire","Kayseri / Develi / Şehit Üsteğmen Hasan Şahan Mah.","https://www.hepsiemlak.com/emlak-ofisi/polat-gayrimenkul-99212","https://hecdnnw.hemlak.com/mncropresize/77/67/logo/2/1/2/9/9/0/2c4df8eb-3a12-45e8-962a-05336c77c3da.jpg","Polat Gayrimenkul","","","",""
"https://www.hepsiemlak.com/kayseri-talas-mevlana-kiralik/daire/60779-3987","17","19.000","31-12-2024","4 +
                          1","220 m²","3
                        Yaşında","2. Kat","Talas İki Üniversite Arası 4+1 Kiralık Daire 151/3","Kayseri / Talas / Mevlana Mah.","","","","","","",""
"https://www.hepsiemlak.com/kayseri-melikgazi-mimarsinan-kiralik/daire/124397-679","19","9.000","31-12-2024","3 +
                          1","130 m²","Sıfır Bina","Yüksek Giriş","Mimarsinan Toki 3+1 Kiralık Daire","Kayseri / Melikgazi / Mimarsinan Mah.","https://www.hepsiemlak.com/emlak-ofisi/gumuskalem-emlak-ve-danismanlik-124397","https://hecdn01.hemlak.com/mncropresize/182/137/ds01/2/0/7/8/0/7/3/4/3fbed0ec-d453-42a2-86d7-2d140ecc0c17.jpg","Gümüşkalem Emlak Ve Danışmanlık","https://hecdnnw.hemlak.com/mncropresize/77/67/logo/7/9/3/4/2/1/411d7dfe-0447-47bc-bbf2-0a2c4dbfb1f5.jpg","","",""
"https://www.hepsiemlak.com/kayseri-melikgazi-altinoluk-kiralik/daire/139868-32","7","16.000","31-12-2024","3 +
                          1","200 m²","10
                        Yaşında","2. Kat","Kayseri Altınoluk Mahallesi 3+1 Kiralık Daire","Kayseri / Melikgazi / Altınoluk Mah.","https://www.hepsiemlak.com/emlak-ofisi/yildiz-mermi-gayrimenkul-139868/yildiz-mermi-3913093","https://hecdn01.hemlak.com/mncropresize/182/137/ds01/4/0/5/2/3/3/3/4/1725634937992-43332504.jpg","Yıldız Mermi Gayrimenkul","https://hecdnnw.hemlak.com/mncropresize/77/67/firmuser/3/9/0/3/1/9/3/a61f14c6-50a5-4bfd-911d-8f62c0ddb71b.jpg","","","https://hecdnnw.hemlak.com/mncropresize/77/67/logo/8/6/8/9/3/1/7fba4b85-1171-4ef1-852c-a561e03b54db.jpg"
